Iteration,gradnorm,objective,time,two_loop_time,grad_time
452,9509.418806,12431.518594,0.007810,0.000001,0.000006
453,11447.767671,12426.046604,0.007826,0.000000,0.000007
454,57286.711356,12485.021764,0.007846,0.000001,0.000008
455,9467.187679,12415.697829,0.007865,0.000001,0.000008
456,915.094601,12415.109054,0.007886,0.000001,0.000007
457,884.273307,12415.071762,0.007904,0.000000,0.000007
458,1169.202021,12415.005613,0.007922,0.000001,0.000008
459,1082.083211,12414.866421,0.007939,0.000001,0.000007
460,4222.455345,12413.943786,0.007956,0.000000,0.000006
461,4422.097030,12412.750768,0.007972,0.000001,0.000006
462,85678.785200,12461.883571,0.007988,0.000000,0.000007
463,4353.593644,12410.339403,0.008004,0.000000,0.000006
464,2665.070284,12409.895687,0.008020,0.000000,0.000007
465,1165.167480,12409.460480,0.008036,0.000000,0.000006
466,972.699826,12409.251082,0.008054,0.000000,0.000007
467,1098.453499,12408.585193,0.008073,0.000000,0.000008
468,3525.931855,12408.509687,0.008090,0.000000,0.000008
469,17302.708622,12409.713287,0.008105,0.000001,0.000006
470,1999.079792,12407.503507,0.008121,0.000000,0.000006
471,1220.507818,12407.189151,0.008137,0.000001,0.000006
472,1667.737651,12406.534206,0.008153,0.000000,0.000006
473,8646.328229,12415.791384,0.008170,0.000000,0.000006
474,1206.467035,12405.865078,0.008187,0.000000,0.000007
475,5579.160978,12405.779512,0.008204,0.000000,0.000007
476,2754.519597,12405.552296,0.008220,0.000000,0.000007
477,767.514522,12405.495541,0.008238,0.000000,0.000007
