Iteration,t_k,gradnorm,objective,time,two_loop_time,grad_time
351,0.000000,44.927985,684.876271,18289.000000,1.000000,18.000000
352,0.000000,24.557760,684.848485,18331.000000,1.000000,18.000000
353,0.000000,339.699076,684.862728,18372.000000,0.000000,17.000000
354,0.000000,50.012648,684.844432,18415.000000,0.000000,18.000000
355,0.000000,38.102024,684.843114,18457.000000,0.000000,18.000000
356,0.000000,38.756158,684.836592,18502.000000,0.000000,17.000000
357,0.000000,53.643289,684.828816,18543.000000,0.000000,18.000000
358,0.000000,134.743887,684.787268,18585.000000,1.000000,18.000000
359,0.000000,194.149784,684.721174,18628.000000,1.000000,19.000000
360,0.000000,429.100425,684.617855,18674.000000,1.000000,18.000000
361,0.000000,766.477431,684.712580,18720.000000,0.000000,19.000000
362,0.000000,83.256879,684.507230,18762.000000,1.000000,18.000000
363,0.000000,87.153372,684.487368,18807.000000,0.000000,18.000000
364,0.000000,134.927361,684.437302,18853.000000,0.000000,18.000000
365,0.000000,53.752812,684.387672,18898.000000,1.000000,18.000000
366,0.000000,97.487000,684.375399,18944.000000,0.000000,19.000000
367,0.000000,77.481734,684.360840,18992.000000,1.000000,18.000000
368,0.000000,104.058686,684.343962,19043.000000,0.000000,18.000000
369,0.000000,194.809231,684.315263,19089.000000,0.000000,17.000000
370,0.000000,95.076240,684.258391,19134.000000,1.000000,18.000000
371,0.000000,160.492860,684.175606,19179.000000,0.000000,18.000000
372,0.000000,157.876526,683.945390,19225.000000,1.000000,18.000000
373,0.000000,4305.963993,687.232721,19273.000000,1.000000,18.000000
374,0.000000,260.113734,683.726935,19315.000000,1.000000,18.000000
375,0.000000,179.626541,683.676206,19361.000000,1.000000,18.000000
376,0.000000,69.144127,683.603795,19406.000000,0.000000,18.000000
377,0.000000,36.703782,683.597438,19452.000000,1.000000,18.000000
378,0.000000,50.033272,683.590005,19497.000000,0.000000,18.000000
379,0.000000,119.950593,683.546974,19543.000000,0.000000,18.000000
380,0.000000,247.149353,683.555795,19588.000000,1.000000,18.000000
381,0.000000,28.569258,683.535395,19633.000000,0.000000,18.000000
382,0.000000,27.939678,683.533721,19679.000000,0.000000,19.000000
383,0.000000,1657.949659,686.081800,19720.000000,1.000000,17.000000
384,0.000000,46.150416,683.495549,19764.000000,0.000000,18.000000
385,0.000000,27.629308,683.484391,19809.000000,0.000000,18.000000
386,0.000000,274.507773,683.429255,19855.000000,0.000000,17.000000
387,0.000000,140.831855,683.386342,19901.000000,1.000000,19.000000
388,0.000000,80.179954,683.368759,19946.000000,1.000000,18.000000
389,0.000000,155.679574,683.337588,19991.000000,0.000000,18.000000
390,0.000000,255.137824,683.299953,20037.000000,0.000000,18.000000
391,0.000000,187.335956,683.239534,20082.000000,1.000000,18.000000
392,0.000000,2890.127567,685.764612,20127.000000,0.000000,18.000000
393,0.000000,149.761413,683.185192,20169.000000,0.000000,18.000000
394,0.000000,62.097524,683.176527,20214.000000,0.000000,18.000000
395,0.000000,31.599468,683.172131,20260.000000,0.000000,18.000000
396,0.000000,34.690984,683.171025,20306.000000,0.000000,22.000000
397,0.000000,26.040719,683.164408,20352.000000,0.000000,18.000000
398,0.000000,30.862231,683.154156,20397.000000,1.000000,18.000000
399,0.000000,38.386900,683.138651,20442.000000,1.000000,18.000000
400,0.000000,1927.833538,683.736159,20484.000000,0.000000,18.000000
401,0.000000,165.376715,683.111224,20528.000000,0.000000,18.000000
402,0.000000,138.778348,683.096792,20575.000000,1.000000,19.000000
403,0.000000,55.018688,682.983416,20620.000000,1.000000,18.000000
404,0.000000,70.135269,682.969140,20665.000000,0.000000,18.000000
405,0.000000,61.499367,682.972011,20711.000000,1.000000,18.000000
406,0.000000,22.941110,682.945972,20754.000000,0.000000,18.000000
407,0.000000,412.367479,682.972582,20796.000000,0.000000,18.000000
408,0.000000,30.947949,682.943694,20842.000000,1.000000,19.000000
409,0.000000,23.974978,682.942521,20888.000000,1.000000,19.000000
410,0.000000,42.257671,682.930161,20930.000000,1.000000,18.000000
411,0.000000,48.877919,682.923088,20975.000000,0.000000,18.000000
412,0.000000,223.188760,683.210273,21021.000000,0.000000,18.000000
413,0.000000,43.258074,682.863311,21068.000000,1.000000,18.000000
414,0.000000,1405.737636,683.192147,21113.000000,1.000000,18.000000
415,0.000000,49.403402,682.855565,21159.000000,0.000000,17.000000
416,0.000000,43.328423,682.854286,21207.000000,0.000000,18.000000
417,0.000000,76.695067,682.836132,21249.000000,0.000000,18.000000
